date,CU_covid19.csv
2020-04-01,0
2020-04-02,1
2020-04-03,2
2020-04-04,0
2020-04-05,1
2020-04-06,5
2020-04-07,1
2020-04-08,3
2020-04-09,1
2020-04-10,1
2020-04-11,0
2020-04-12,2
2020-04-13,1
2020-04-15,0
2020-04-16,0
2020-04-17,1
2020-04-18,13
2020-04-19,9
2020-04-20,8
2020-04-21,12
2020-04-22,12
2020-04-23,6
2020-04-24,13
2020-04-25,12
2020-04-26,9
2020-04-27,14
2020-04-28,17
2020-04-29,30
2020-04-30,23
2020-05-01,39
2020-05-02,15
2020-05-03,27
2020-05-04,22
2020-05-05,21
2020-05-06,21
2020-05-07,29
2020-05-08,33
2020-05-09,19
2020-05-10,26
2020-05-11,27
2020-05-12,28
2020-05-13,30
2020-05-14,23
2020-05-15,23
2020-05-16,30
2020-05-17,26
2020-05-18,22
2020-05-19,21
2020-05-20,31
2020-05-21,29
2020-05-22,12
2020-05-23,27
2020-05-24,26
2020-05-25,24
2020-05-26,35
2020-05-27,24
2020-05-28,36
2020-05-29,20
2020-05-30,19
2020-05-31,24
2020-06-01,18
2020-06-02,23
2020-06-03,17
2020-06-04,21
2020-06-05,21
2020-06-06,13
2020-06-07,12
2020-06-08,17
2020-06-09,16
2020-06-10,16
2020-06-11,18
2020-06-12,23
2020-06-13,24
2020-06-14,13
2020-06-15,15
2020-06-16,10
2020-06-17,10
2020-06-18,5
2020-06-19,20
2020-06-20,7
2020-06-21,14
2020-06-22,18
2020-06-23,12
2020-06-24,10
2020-06-25,10
2020-06-26,14
2020-06-27,13
2020-06-28,16
2020-06-29,7
2020-06-30,14
2020-07-01,9
2020-07-02,18
2020-07-03,20
2020-07-04,15
2020-07-05,10
2020-07-06,2
2020-07-07,11
2020-07-08,11
2020-07-09,12
2020-07-10,10
2020-07-11,12
2020-07-12,16
2020-07-13,5
2020-07-14,10
2020-07-15,8
2020-07-16,7
2020-07-17,9
2020-07-18,14
2020-07-19,21
2020-07-20,9
2020-07-21,20
2020-07-22,16
2020-07-23,11
2020-07-24,2
2020-07-25,9
2020-07-26,18
2020-07-27,9
2020-07-28,1
2020-07-29,10
2020-07-30,7
2020-07-31,15
2020-08-01,20
2020-08-02,11
2020-08-03,7
2020-08-04,8
2020-08-05,12
2020-08-06,6
2020-08-07,14
2020-08-08,15
2020-08-09,14
2020-08-10,9
2020-08-11,10
2020-08-12,13
2020-08-13,13
2020-08-14,6
2020-08-15,13
2020-08-16,15
2020-08-17,13
2020-08-18,7
2020-08-19,18
2020-08-20,15
2020-08-21,7
2020-08-22,14
2020-08-23,13
2020-08-24,8
2020-08-25,6
2020-08-26,3
2020-08-27,11
2020-08-28,15
2020-08-29,10
2020-08-30,11
2020-08-31,10
2020-09-01,11
2020-09-02,3
2020-09-03,5
2020-09-04,10
2020-09-05,10
2020-09-06,18
2020-09-07,13
2020-09-08,23
2020-09-09,5
2020-09-10,9
2020-09-11,18
2020-09-12,8
2020-09-13,11
2020-09-14,6
2020-09-15,12
2020-09-16,8
2020-09-17,11
2020-09-18,12
2020-09-19,8
2020-09-20,9
2020-09-21,5
2020-09-22,13
2020-09-23,7
2020-09-24,7
2020-09-25,7
2020-09-26,8
2020-09-27,5
2020-09-28,14
2020-09-29,8
2020-09-30,21
2020-10-01,13
2020-10-02,13
2020-10-03,1
2020-10-04,8
2020-10-05,11
2020-10-06,8
2020-10-07,3
2020-10-08,5
2020-10-09,10
2020-10-10,10
2020-10-11,3
2020-10-12,8
2020-10-13,2
2020-10-14,10
2020-10-15,9
2020-10-16,15
2020-10-17,13
2020-10-18,7
2020-10-19,6
2020-10-20,5
2020-10-21,16
2020-10-22,6
2020-10-23,3
2020-10-24,10
2020-10-25,8
2020-10-26,6
2020-10-27,8
2020-10-28,7
2020-10-29,13
2020-10-30,12
2020-10-31,5
2020-11-01,6
2020-11-02,10
2020-11-03,6
2020-11-04,9
2020-11-05,5
2020-11-06,11
2020-11-07,9
2020-11-08,6
2020-11-09,6
2020-11-10,17
2020-11-11,7
2020-11-12,1
