date,GB_cases-of.csv
2020-04-01,1
2020-04-02,0
2020-04-03,1
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,3
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,5
2020-04-23,2
2020-04-24,1
2020-04-25,1
2020-04-26,2
2020-04-27,4
2020-04-28,4
2020-04-29,6
2020-04-30,3
2020-05-01,6
2020-05-02,1
2020-05-03,1
2020-05-04,5
2020-05-05,8
2020-05-06,2
2020-05-07,9
2020-05-08,1
2020-05-09,4
2020-05-10,2
2020-05-11,5
2020-05-12,1
2020-05-13,3
2020-05-14,1
2020-05-15,1
2020-05-16,6
2020-05-17,4
2020-05-18,6
2020-05-19,3
2020-05-20,1
2020-05-21,3
2020-05-22,1
2020-05-23,4
2020-05-24,4
2020-05-25,3
2020-05-26,0
2020-05-27,3
2020-05-28,0
2020-05-29,6
2020-05-30,3
2020-05-31,3
2020-06-01,5
2020-06-02,3
2020-06-03,4
2020-06-04,6
2020-06-05,2
2020-06-06,2
2020-06-07,2
2020-06-08,3
2020-06-09,6
2020-06-10,2
2020-06-11,1
2020-06-12,8
2020-06-13,2
2020-06-14,3
2020-06-15,3
2020-06-16,3
2020-06-17,4
2020-06-18,1
2020-06-19,2
2020-06-20,4
2020-06-21,4
2020-06-22,0
2020-06-23,3
2020-06-24,4
2020-06-25,3
2020-06-26,1
2020-06-27,5
2020-06-28,2
2020-06-29,3
2020-06-30,7
2020-07-01,2
2020-07-02,3
2020-07-03,2
2020-07-04,4
2020-07-05,2
2020-07-06,1
2020-07-07,3
2020-07-08,3
2020-07-09,2
2020-07-10,1
2020-07-11,4
2020-07-12,2
2020-07-13,3
2020-07-14,1
2020-07-15,1
2020-07-16,3
2020-07-17,3
2020-07-18,5
2020-07-19,3
2020-07-20,2
2020-07-21,2
2020-07-22,8
2020-07-23,3
2020-07-24,2
2020-07-25,1
2020-07-26,3
2020-07-27,4
2020-07-28,1
2020-07-29,1
2020-07-30,1
2020-07-31,1
2020-08-01,1
2020-08-02,10
2020-08-03,4
2020-08-04,3
2020-08-05,3
2020-08-06,4
2020-08-07,8
2020-08-08,3
2020-08-09,2
2020-08-10,3
2020-08-11,3
2020-08-12,1
2020-08-13,3
2020-08-14,4
2020-08-15,5
2020-08-16,6
2020-08-17,2
2020-08-18,3
2020-08-19,5
2020-08-20,6
2020-08-21,6
2020-08-22,2
2020-08-23,1
2020-08-24,2
2020-08-25,6
2020-08-26,11
2020-08-27,3
2020-08-28,3
2020-08-29,6
2020-08-30,8
2020-08-31,5
2020-09-01,5
2020-09-02,2
2020-09-03,6
2020-09-04,7
2020-09-05,2
2020-09-06,9
2020-09-07,2
2020-09-08,2
2020-09-09,5
2020-09-10,5
2020-09-11,6
2020-09-12,3
2020-09-13,3
2020-09-14,0
2020-09-15,2
2020-09-16,1
2020-09-17,1
2020-09-18,3
2020-09-19,3
2020-09-20,2
2020-09-21,5
2020-09-22,0
2020-09-23,0
2020-09-24,3
2020-09-25,3
2020-09-26,6
2020-09-27,4
2020-09-28,9
2020-09-29,2
2020-09-30,1
2020-10-01,3
2020-10-02,2
2020-10-03,3
2020-10-04,3
2020-10-05,1
2020-10-06,3
2020-10-07,4
2020-10-08,3
2020-10-09,2
2020-10-10,2
2020-10-11,7
2020-10-12,8
2020-10-13,2
2020-10-14,3
2020-10-15,3
2020-10-16,0
2020-10-17,2
2020-10-18,3
2020-10-19,0
2020-10-20,4
2020-10-21,3
2020-10-22,2
2020-10-23,5
2020-10-24,2
2020-10-25,6
2020-10-26,5
2020-10-27,4
2020-10-28,1
2020-10-29,4
2020-10-30,0
2020-10-31,1
2020-11-01,11
2020-11-02,1
2020-11-03,1
2020-11-04,0
2020-11-05,0
2020-11-06,2
2020-11-07,0
2020-11-08,2
2020-11-09,2
2020-11-10,1
2020-11-11,2
2020-11-12,0
