date,GB_to-wear.csv
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,1
2020-04-08,0
2020-04-09,1
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,1
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,1
2020-04-23,2
2020-04-24,0
2020-04-25,1
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-04-29,2
2020-04-30,2
2020-05-01,1
2020-05-02,0
2020-05-03,1
2020-05-04,1
2020-05-05,1
2020-05-06,1
2020-05-07,1
2020-05-08,0
2020-05-09,1
2020-05-10,1
2020-05-11,0
2020-05-12,2
2020-05-13,1
2020-05-14,2
2020-05-15,2
2020-05-16,0
2020-05-17,1
2020-05-18,2
2020-05-19,0
2020-05-20,1
2020-05-21,2
2020-05-22,2
2020-05-23,0
2020-05-24,1
2020-05-25,2
2020-05-26,6
2020-05-27,5
2020-05-28,3
2020-05-29,0
2020-05-30,0
2020-05-31,2
2020-06-01,2
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,2
2020-06-06,10
2020-06-07,1
2020-06-08,1
2020-06-09,9
2020-06-10,2
2020-06-11,6
2020-06-12,3
2020-06-13,2
2020-06-14,5
2020-06-15,4
2020-06-16,5
2020-06-17,3
2020-06-18,2
2020-06-19,2
2020-06-20,1
2020-06-21,0
2020-06-22,6
2020-06-23,2
2020-06-24,5
2020-06-25,2
2020-06-26,7
2020-06-27,0
2020-06-28,3
2020-06-29,8
2020-06-30,2
2020-07-01,3
2020-07-02,6
2020-07-03,4
2020-07-04,2
2020-07-05,1
2020-07-06,7
2020-07-07,3
2020-07-08,1
2020-07-09,2
2020-07-10,6
2020-07-11,6
2020-07-12,3
2020-07-13,4
2020-07-14,4
2020-07-15,1
2020-07-16,5
2020-07-17,3
2020-07-18,2
2020-07-19,2
2020-07-20,5
2020-07-21,2
2020-07-22,7
2020-07-23,6
2020-07-24,8
2020-07-25,9
2020-07-26,4
2020-07-27,2
2020-07-28,2
2020-07-29,3
2020-07-30,4
2020-07-31,5
2020-08-01,1
2020-08-02,5
2020-08-03,0
2020-08-04,1
2020-08-05,6
2020-08-06,4
2020-08-07,12
2020-08-08,12
2020-08-09,3
2020-08-10,7
2020-08-11,9
2020-08-12,20
2020-08-13,10
2020-08-14,6
2020-08-15,10
2020-08-16,2
2020-08-17,7
2020-08-18,7
2020-08-19,9
2020-08-20,4
2020-08-21,8
2020-08-22,6
2020-08-23,3
2020-08-24,9
2020-08-25,11
2020-08-26,6
2020-08-27,10
2020-08-28,5
2020-08-29,5
2020-08-30,1
2020-08-31,5
2020-09-01,7
2020-09-02,2
2020-09-03,6
2020-09-04,4
2020-09-05,8
2020-09-06,7
2020-09-07,7
2020-09-08,10
2020-09-09,4
2020-09-10,1
2020-09-11,3
2020-09-12,4
2020-09-13,3
2020-09-14,1
2020-09-15,2
2020-09-16,3
2020-09-17,0
2020-09-18,5
2020-09-19,0
2020-09-20,4
2020-09-21,0
2020-09-22,1
2020-09-23,0
2020-09-24,3
2020-09-25,4
2020-09-26,1
2020-09-27,1
2020-09-28,3
2020-09-29,1
2020-09-30,2
2020-10-01,4
2020-10-02,3
2020-10-03,1
2020-10-04,1
2020-10-05,1
2020-10-06,1
2020-10-07,1
2020-10-08,0
2020-10-09,2
2020-10-10,3
2020-10-11,1
2020-10-12,3
2020-10-13,3
2020-10-14,2
2020-10-15,2
2020-10-16,1
2020-10-17,0
2020-10-18,0
2020-10-19,1
2020-10-20,2
2020-10-21,2
2020-10-22,5
2020-10-23,2
2020-10-24,3
2020-10-25,0
2020-10-26,2
2020-10-27,1
2020-10-28,0
2020-10-29,2
2020-10-30,2
2020-10-31,3
2020-11-01,5
2020-11-02,0
2020-11-03,0
2020-11-04,6
2020-11-05,3
2020-11-06,4
2020-11-07,5
2020-11-08,1
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,1
2020-11-13,4
2020-11-14,0
2020-11-15,1
2020-11-16,4
2020-11-17,1
2020-11-18,1
2020-11-19,1
2020-11-20,3
2020-11-21,3
2020-11-22,0
2020-11-23,1
2020-11-24,2
2020-11-25,1
2020-11-26,3
2020-11-27,2
2020-11-28,2
2020-11-29,2
2020-11-30,3
2020-12-01,0
